n,N,is_independent,estimated,answer,error,delta,s
10,10000,dependent,0.4696959715147791,0.05673675916375908,7.278512527638343,0.001,1000
10,10000,dependent,3.7864687171556186,0.05673675916375908,65.73748682448974,0.001,2000
10,10000,dependent,0.36260796342906826,0.05673675916375908,5.391058791047165,0.001,3000
10,10000,dependent,0.23834757785846306,0.05673675916375908,3.200937476363805,0.001,4000
10,10000,dependent,0.2563946952405693,0.05673675916375908,3.5190225705444034,0.001,5000
10,10000,dependent,0.23680569166149423,0.05673675916375908,3.17376133483414,0.001,6000
10,10000,dependent,0.18018696011121188,0.05673675916375908,2.175841601934629,0.001,7000
10,10000,dependent,0.9703734375525248,0.05673675916375908,16.103081879452084,0.001,8000
10,10000,dependent,0.2768268742327749,0.05673675916375908,3.8791449901777186,0.001,9000
10,10000,dependent,0.2347530353170983,0.05673675916375908,3.137582737842526,0.0001,1000
10,10000,dependent,0.44794893753047993,0.05673675916375908,6.895215449961932,0.0001,2000
10,10000,dependent,2.1398749886216706,0.05673675916375908,36.71584807030232,0.0001,3000
10,10000,dependent,0.3227158523312579,0.05673675916375908,4.687950053682206,0.0001,4000
10,10000,dependent,0.20148904732853326,0.05673675916375908,2.551296378190658,0.0001,5000
10,10000,dependent,0.7427497602046333,0.05673675916375908,12.091155912885995,0.0001,6000
10,10000,dependent,1.1674032969035957,0.05673675916375908,19.57578392051129,0.0001,7000
10,10000,dependent,0.384685056385511,0.05673675916375908,5.7801732431561,0.0001,8000
10,10000,dependent,0.1949353973043606,0.05673675916375908,2.4357866077919494,0.0001,9000
10,10000,dependent,0.37295724091643545,0.05673675916375908,5.573467473529295,1e-05,1000
10,10000,dependent,0.27423584824066494,0.05673675916375908,3.8334774894198507,1e-05,2000
10,10000,dependent,1.3140717927619296,0.05673675916375908,22.160853953062944,1e-05,3000
10,10000,dependent,0.37471972325077263,0.05673675916375908,5.604531678822553,1e-05,4000
10,10000,dependent,0.15683350495134937,0.05673675916375908,1.7642309371016673,1e-05,5000
10,10000,dependent,0.5187135280084025,0.05673675916375908,8.14245959151882,1e-05,6000
10,10000,dependent,0.4925999149182171,0.05673675916375908,7.682200431935634,1e-05,7000
10,10000,dependent,0.17704571054244617,0.05673675916375908,2.120476268858428,1e-05,8000
10,10000,dependent,0.405102264341247,0.05673675916375908,6.140031794413953,1e-05,9000
10,10000,dependent,0.18638283153720953,0.05673675916375908,2.285045432349308,1e-06,1000
